periodo;edades;Hombres;Mujeres;fuente
1908;0;-303915.69;293127.94;HMD
1908;1;-268001.03999999998;265371.17999999999;HMD
1908;2;-254761.14000000001;247724.95999999999;HMD
1908;3;-249420.63;248120.89000000001;HMD
1908;4;-245973.37;243290.22;HMD
1908;5;-246377.85000000001;242399.84;HMD
1908;6;-220680.87;216872.95000000001;HMD
1908;7;-236969.63;236416.82000000001;HMD
1908;8;-197558.69;194955.92999999999;HMD
1908;9;-221148.67000000001;222896.94;HMD
1908;10;-198535.35999999999;198533.60999999999;HMD
1908;11;-203900.88;202979.01999999999;HMD
1908;12;-181938.28;187624.57999999999;HMD
1908;13;-175181.72;188157.03;HMD
1908;14;-174841.35000000001;179472.20999999999;HMD
1908;15;-185408.23999999999;206642.42999999999;HMD
1908;16;-150094.60000000001;166301.01999999999;HMD
1908;17;-159047.5;205048.92999999999;HMD
1908;18;-142043.67999999999;148034.16;HMD
1908;19;-172388.84;182553.70000000001;HMD
1908;20;-165302.06;162157.67999999999;HMD
1908;21;-154683.97;176965.32999999999;HMD
1908;22;-152667.89999999999;173355.94;HMD
1908;23;-149750.44;165582.45999999999;HMD
1908;24;-136899.14000000001;142151.10999999999;HMD
1908;25;-151952.03;171922.87;HMD
1908;26;-119062.57000000001;125497.83;HMD
1908;27;-186448.59;225171.13;HMD
1908;28;-99016.75;101007.92999999999;HMD
1908;29;-134714.23000000001;146178.92999999999;HMD
1908;30;-122566.8;125805.14;HMD
1908;31;-124604.7;138680.29000000001;HMD
1908;32;-127383.97;139303.64999999999;HMD
1908;33;-127382.98;146073.67000000001;HMD
1908;34;-105181.78;112612.36;HMD
1908;35;-127742.74000000001;141065.60999999999;HMD
1908;36;-97855.100000000006;100220.89999999999;HMD
1908;37;-194087.75;219796.09;HMD
1908;38;-78849.720000000001;79079.460000000006;HMD
1908;39;-113585.42999999999;119135.82000000001;HMD
1908;40;-89039.830000000002;92243.210000000006;HMD
1908;41;-108023.42999999999;115814.63;HMD
1908;42;-124467.24000000001;125006.96000000001;HMD
1908;43;-104329.23;113969.14;HMD
1908;44;-85321.289999999994;88104.970000000001;HMD
1908;45;-110996.64;121712.52;HMD
1908;46;-84984.5;83464.360000000001;HMD
1908;47;-174834.73999999999;203284.16;HMD
1908;48;-69732.210000000006;66579.059999999998;HMD
1908;49;-91718.149999999994;96016.380000000005;HMD
1908;50;-70943.880000000005;71034.520000000004;HMD
